char,x,y,width,height,char_idx_in_line,line_idx,page,word
W,125.0,140.0,15.0,31,0,0,page_1,Welcome
e,140.0,140.0,15.0,31,1,0,page_1,Welcome
l,155.0,140.0,15.0,31,2,0,page_1,Welcome
c,170.0,140.0,15.0,31,3,0,page_1,Welcome
o,185.0,140.0,15.0,31,4,0,page_1,Welcome
m,200.0,140.0,15.0,31,5,0,page_1,Welcome
e,215.0,140.0,15.0,31,6,0,page_1,Welcome
 ,230.0,140.0,15.0,31,7,0,page_1,
t,245.0,140.0,15.0,31,8,0,page_1,to
o,260.0,140.0,15.0,31,9,0,page_1,to
 ,275.0,140.0,15.0,31,10,0,page_1,
M,290.0,140.0,15.0,31,11,0,page_1,MultiplEYE!
u,305.0,140.0,15.0,31,12,0,page_1,MultiplEYE!
l,320.0,140.0,15.0,31,13,0,page_1,MultiplEYE!
t,335.0,140.0,15.0,31,14,0,page_1,MultiplEYE!
i,350.0,140.0,15.0,31,15,0,page_1,MultiplEYE!
p,365.0,140.0,15.0,31,16,0,page_1,MultiplEYE!
l,380.0,140.0,15.0,31,17,0,page_1,MultiplEYE!
E,395.0,140.0,15.0,31,18,0,page_1,MultiplEYE!
Y,410.0,140.0,15.0,31,19,0,page_1,MultiplEYE!
E,425.0,140.0,15.0,31,20,0,page_1,MultiplEYE!
!,440.0,140.0,15.0,31,21,0,page_1,MultiplEYE!
T,125.0,140.0,15.0,31,0,0,page_2,The
h,140.0,140.0,15.0,31,1,0,page_2,The
e,155.0,140.0,15.0,31,2,0,page_2,The
 ,170.0,140.0,15.0,31,3,0,page_2,
n,185.0,140.0,15.0,31,4,0,page_2,name
a,200.0,140.0,15.0,31,5,0,page_2,name
m,215.0,140.0,15.0,31,6,0,page_2,name
e,230.0,140.0,15.0,31,7,0,page_2,name
 ,245.0,140.0,15.0,31,8,0,page_2,
"""",260.0,140.0,15.0,31,9,0,page_2,"""MultiplEYE"""
M,275.0,140.0,15.0,31,10,0,page_2,"""MultiplEYE"""
u,290.0,140.0,15.0,31,11,0,page_2,"""MultiplEYE"""
l,305.0,140.0,15.0,31,12,0,page_2,"""MultiplEYE"""
t,320.0,140.0,15.0,31,13,0,page_2,"""MultiplEYE"""
i,335.0,140.0,15.0,31,14,0,page_2,"""MultiplEYE"""
p,350.0,140.0,15.0,31,15,0,page_2,"""MultiplEYE"""
l,365.0,140.0,15.0,31,16,0,page_2,"""MultiplEYE"""
E,380.0,140.0,15.0,31,17,0,page_2,"""MultiplEYE"""
Y,395.0,140.0,15.0,31,18,0,page_2,"""MultiplEYE"""
E,410.0,140.0,15.0,31,19,0,page_2,"""MultiplEYE"""
"""",425.0,140.0,15.0,31,20,0,page_2,"""MultiplEYE"""
 ,440.0,140.0,15.0,31,21,0,page_2,
i,455.0,140.0,15.0,31,22,0,page_2,is
s,470.0,140.0,15.0,31,23,0,page_2,is
 ,485.0,140.0,15.0,31,24,0,page_2,
a,500.0,140.0,15.0,31,25,0,page_2,a
 ,515.0,140.0,15.0,31,26,0,page_2,
w,530.0,140.0,15.0,31,27,0,page_2,wordplay
o,545.0,140.0,15.0,31,28,0,page_2,wordplay
r,560.0,140.0,15.0,31,29,0,page_2,wordplay
d,575.0,140.0,15.0,31,30,0,page_2,wordplay
p,590.0,140.0,15.0,31,31,0,page_2,wordplay
l,605.0,140.0,15.0,31,32,0,page_2,wordplay
a,620.0,140.0,15.0,31,33,0,page_2,wordplay
y,635.0,140.0,15.0,31,34,0,page_2,wordplay
 ,650.0,140.0,15.0,31,35,0,page_2,
c,665.0,140.0,15.0,31,36,0,page_2,combining
o,680.0,140.0,15.0,31,37,0,page_2,combining
m,695.0,140.0,15.0,31,38,0,page_2,combining
b,710.0,140.0,15.0,31,39,0,page_2,combining
i,725.0,140.0,15.0,31,40,0,page_2,combining
n,740.0,140.0,15.0,31,41,0,page_2,combining
i,755.0,140.0,15.0,31,42,0,page_2,combining
n,770.0,140.0,15.0,31,43,0,page_2,combining
g,785.0,140.0,15.0,31,44,0,page_2,combining
 ,800.0,140.0,15.0,31,45,0,page_2,
"""",815.0,140.0,15.0,31,46,0,page_2,"""multilingualism"""
m,830.0,140.0,15.0,31,47,0,page_2,"""multilingualism"""
u,845.0,140.0,15.0,31,48,0,page_2,"""multilingualism"""
l,860.0,140.0,15.0,31,49,0,page_2,"""multilingualism"""
t,875.0,140.0,15.0,31,50,0,page_2,"""multilingualism"""
i,890.0,140.0,15.0,31,51,0,page_2,"""multilingualism"""
l,905.0,140.0,15.0,31,52,0,page_2,"""multilingualism"""
i,920.0,140.0,15.0,31,53,0,page_2,"""multilingualism"""
n,935.0,140.0,15.0,31,54,0,page_2,"""multilingualism"""
g,950.0,140.0,15.0,31,55,0,page_2,"""multilingualism"""
u,965.0,140.0,15.0,31,56,0,page_2,"""multilingualism"""
a,980.0,140.0,15.0,31,57,0,page_2,"""multilingualism"""
l,995.0,140.0,15.0,31,58,0,page_2,"""multilingualism"""
i,1010.0,140.0,15.0,31,59,0,page_2,"""multilingualism"""
s,1025.0,140.0,15.0,31,60,0,page_2,"""multilingualism"""
m,1040.0,140.0,15.0,31,61,0,page_2,"""multilingualism"""
"""",1055.0,140.0,15.0,31,62,0,page_2,"""multilingualism"""
 ,1070.0,140.0,15.0,31,63,0,page_2,
o,1085.0,140.0,15.0,31,64,0,page_2,or
r,1100.0,140.0,15.0,31,65,0,page_2,or
"""",125.0,233.0,15.0,31,0,1,page_2,"""multiple"
m,140.0,233.0,15.0,31,1,1,page_2,"""multiple"
u,155.0,233.0,15.0,31,2,1,page_2,"""multiple"
l,170.0,233.0,15.0,31,3,1,page_2,"""multiple"
t,185.0,233.0,15.0,31,4,1,page_2,"""multiple"
i,200.0,233.0,15.0,31,5,1,page_2,"""multiple"
p,215.0,233.0,15.0,31,6,1,page_2,"""multiple"
l,230.0,233.0,15.0,31,7,1,page_2,"""multiple"
e,245.0,233.0,15.0,31,8,1,page_2,"""multiple"
 ,260.0,233.0,15.0,31,9,1,page_2,
l,275.0,233.0,15.0,31,10,1,page_2,"languages"""
a,290.0,233.0,15.0,31,11,1,page_2,"languages"""
n,305.0,233.0,15.0,31,12,1,page_2,"languages"""
g,320.0,233.0,15.0,31,13,1,page_2,"languages"""
u,335.0,233.0,15.0,31,14,1,page_2,"languages"""
a,350.0,233.0,15.0,31,15,1,page_2,"languages"""
g,365.0,233.0,15.0,31,16,1,page_2,"languages"""
e,380.0,233.0,15.0,31,17,1,page_2,"languages"""
s,395.0,233.0,15.0,31,18,1,page_2,"languages"""
"""",410.0,233.0,15.0,31,19,1,page_2,"languages"""
 ,425.0,233.0,15.0,31,20,1,page_2,
w,440.0,233.0,15.0,31,21,1,page_2,with
i,455.0,233.0,15.0,31,22,1,page_2,with
t,470.0,233.0,15.0,31,23,1,page_2,with
h,485.0,233.0,15.0,31,24,1,page_2,with
 ,500.0,233.0,15.0,31,25,1,page_2,
"""",515.0,233.0,15.0,31,26,1,page_2,"""eye"""
e,530.0,233.0,15.0,31,27,1,page_2,"""eye"""
y,545.0,233.0,15.0,31,28,1,page_2,"""eye"""
e,560.0,233.0,15.0,31,29,1,page_2,"""eye"""
"""",575.0,233.0,15.0,31,30,1,page_2,"""eye"""
 ,590.0,233.0,15.0,31,31,1,page_2,
f,605.0,233.0,15.0,31,32,1,page_2,from
r,620.0,233.0,15.0,31,33,1,page_2,from
o,635.0,233.0,15.0,31,34,1,page_2,from
m,650.0,233.0,15.0,31,35,1,page_2,from
 ,665.0,233.0,15.0,31,36,1,page_2,
"""",680.0,233.0,15.0,31,37,1,page_2,"""eye-tracking""."
e,695.0,233.0,15.0,31,38,1,page_2,"""eye-tracking""."
y,710.0,233.0,15.0,31,39,1,page_2,"""eye-tracking""."
e,725.0,233.0,15.0,31,40,1,page_2,"""eye-tracking""."
-,740.0,233.0,15.0,31,41,1,page_2,"""eye-tracking""."
t,755.0,233.0,15.0,31,42,1,page_2,"""eye-tracking""."
r,770.0,233.0,15.0,31,43,1,page_2,"""eye-tracking""."
a,785.0,233.0,15.0,31,44,1,page_2,"""eye-tracking""."
c,800.0,233.0,15.0,31,45,1,page_2,"""eye-tracking""."
k,815.0,233.0,15.0,31,46,1,page_2,"""eye-tracking""."
i,830.0,233.0,15.0,31,47,1,page_2,"""eye-tracking""."
n,845.0,233.0,15.0,31,48,1,page_2,"""eye-tracking""."
g,860.0,233.0,15.0,31,49,1,page_2,"""eye-tracking""."
"""",875.0,233.0,15.0,31,50,1,page_2,"""eye-tracking""."
.,890.0,233.0,15.0,31,51,1,page_2,"""eye-tracking""."
 ,905.0,233.0,15.0,31,52,1,page_2,
M,920.0,233.0,15.0,31,53,1,page_2,MultiplEYE
u,935.0,233.0,15.0,31,54,1,page_2,MultiplEYE
l,950.0,233.0,15.0,31,55,1,page_2,MultiplEYE
t,965.0,233.0,15.0,31,56,1,page_2,MultiplEYE
i,980.0,233.0,15.0,31,57,1,page_2,MultiplEYE
p,995.0,233.0,15.0,31,58,1,page_2,MultiplEYE
l,1010.0,233.0,15.0,31,59,1,page_2,MultiplEYE
E,1025.0,233.0,15.0,31,60,1,page_2,MultiplEYE
Y,1040.0,233.0,15.0,31,61,1,page_2,MultiplEYE
E,1055.0,233.0,15.0,31,62,1,page_2,MultiplEYE
 ,1070.0,233.0,15.0,31,63,1,page_2,
i,1085.0,233.0,15.0,31,64,1,page_2,is
s,1100.0,233.0,15.0,31,65,1,page_2,is
a,125.0,326.0,15.0,31,0,2,page_2,a
 ,140.0,326.0,15.0,31,1,2,page_2,
C,155.0,326.0,15.0,31,2,2,page_2,COST
O,170.0,326.0,15.0,31,3,2,page_2,COST
S,185.0,326.0,15.0,31,4,2,page_2,COST
T,200.0,326.0,15.0,31,5,2,page_2,COST
 ,215.0,326.0,15.0,31,6,2,page_2,
A,230.0,326.0,15.0,31,7,2,page_2,Action
c,245.0,326.0,15.0,31,8,2,page_2,Action
t,260.0,326.0,15.0,31,9,2,page_2,Action
i,275.0,326.0,15.0,31,10,2,page_2,Action
o,290.0,326.0,15.0,31,11,2,page_2,Action
n,305.0,326.0,15.0,31,12,2,page_2,Action
 ,320.0,326.0,15.0,31,13,2,page_2,
f,335.0,326.0,15.0,31,14,2,page_2,funded
u,350.0,326.0,15.0,31,15,2,page_2,funded
n,365.0,326.0,15.0,31,16,2,page_2,funded
d,380.0,326.0,15.0,31,17,2,page_2,funded
e,395.0,326.0,15.0,31,18,2,page_2,funded
d,410.0,326.0,15.0,31,19,2,page_2,funded
 ,425.0,326.0,15.0,31,20,2,page_2,
b,440.0,326.0,15.0,31,21,2,page_2,by
y,455.0,326.0,15.0,31,22,2,page_2,by
 ,470.0,326.0,15.0,31,23,2,page_2,
t,485.0,326.0,15.0,31,24,2,page_2,the
h,500.0,326.0,15.0,31,25,2,page_2,the
e,515.0,326.0,15.0,31,26,2,page_2,the
 ,530.0,326.0,15.0,31,27,2,page_2,
E,545.0,326.0,15.0,31,28,2,page_2,European
u,560.0,326.0,15.0,31,29,2,page_2,European
r,575.0,326.0,15.0,31,30,2,page_2,European
o,590.0,326.0,15.0,31,31,2,page_2,European
p,605.0,326.0,15.0,31,32,2,page_2,European
e,620.0,326.0,15.0,31,33,2,page_2,European
a,635.0,326.0,15.0,31,34,2,page_2,European
n,650.0,326.0,15.0,31,35,2,page_2,European
 ,665.0,326.0,15.0,31,36,2,page_2,
U,680.0,326.0,15.0,31,37,2,page_2,Union.
n,695.0,326.0,15.0,31,38,2,page_2,Union.
i,710.0,326.0,15.0,31,39,2,page_2,Union.
o,725.0,326.0,15.0,31,40,2,page_2,Union.
n,740.0,326.0,15.0,31,41,2,page_2,Union.
.,755.0,326.0,15.0,31,42,2,page_2,Union.
 ,770.0,326.0,15.0,31,43,2,page_2,
C,785.0,326.0,15.0,31,44,2,page_2,COST
O,800.0,326.0,15.0,31,45,2,page_2,COST
S,815.0,326.0,15.0,31,46,2,page_2,COST
T,830.0,326.0,15.0,31,47,2,page_2,COST
 ,845.0,326.0,15.0,31,48,2,page_2,
A,860.0,326.0,15.0,31,49,2,page_2,Actions
c,875.0,326.0,15.0,31,50,2,page_2,Actions
t,890.0,326.0,15.0,31,51,2,page_2,Actions
