char,x,y,width,height,char_idx_in_line,line_idx,page,word
I,-155.0,-212,13.0,17,0,0,page_1_practice,Introduction
n,-142.0,-212,13.0,17,1,0,page_1_practice,Introduction
t,-129.0,-212,13.0,17,2,0,page_1_practice,Introduction
r,-116.0,-212,13.0,17,3,0,page_1_practice,Introduction
o,-103.0,-212,13.0,17,4,0,page_1_practice,Introduction
d,-90.0,-212,13.0,17,5,0,page_1_practice,Introduction
u,-77.0,-212,13.0,17,6,0,page_1_practice,Introduction
c,-64.0,-212,13.0,17,7,0,page_1_practice,Introduction
t,-51.0,-212,13.0,17,8,0,page_1_practice,Introduction
i,-38.0,-212,13.0,17,9,0,page_1_practice,Introduction
o,-25.0,-212,13.0,17,10,0,page_1_practice,Introduction
n,-12.0,-212,13.0,17,11,0,page_1_practice,Introduction
E,-155.0,-143,13.0,22,0,0,page_1_practice,Endgaget
n,-142.0,-143,13.0,22,1,0,page_1_practice,Endgaget
d,-129.0,-143,13.0,22,2,0,page_1_practice,Endgaget
g,-116.0,-143,13.0,22,3,0,page_1_practice,Endgaget
a,-103.0,-143,13.0,22,4,0,page_1_practice,Endgaget
g,-90.0,-143,13.0,22,5,0,page_1_practice,Endgaget
e,-77.0,-143,13.0,22,6,0,page_1_practice,Endgaget
t,-64.0,-143,13.0,22,7,0,page_1_practice,Endgaget
 ,-51.0,-143,13.0,22,8,0,page_1_practice,
b,-38.0,-143,13.0,22,9,0,page_1_practice,blog
l,-25.0,-143,13.0,22,10,0,page_1_practice,blog
o,-12.0,-143,13.0,22,11,0,page_1_practice,blog
g,1.0,-143,13.0,22,12,0,page_1_practice,blog
 ,14.0,-143,13.0,22,13,0,page_1_practice,
-,27.0,-143,13.0,22,14,0,page_1_practice,-
 ,40.0,-143,13.0,22,15,0,page_1_practice,
d,53.0,-143,13.0,22,16,0,page_1_practice,descritpion
e,66.0,-143,13.0,22,17,0,page_1_practice,descritpion
s,79.0,-143,13.0,22,18,0,page_1_practice,descritpion
c,92.0,-143,13.0,22,19,0,page_1_practice,descritpion
r,105.0,-143,13.0,22,20,0,page_1_practice,descritpion
i,118.0,-143,13.0,22,21,0,page_1_practice,descritpion
t,131.0,-143,13.0,22,22,0,page_1_practice,descritpion
p,144.0,-143,13.0,22,23,0,page_1_practice,descritpion
i,157.0,-143,13.0,22,24,0,page_1_practice,descritpion
o,170.0,-143,13.0,22,25,0,page_1_practice,descritpion
n,183.0,-143,13.0,22,26,0,page_1_practice,descritpion
 ,196.0,-143,13.0,22,27,0,page_1_practice,
f,209.0,-143,13.0,22,28,0,page_1_practice,from
r,222.0,-143,13.0,22,29,0,page_1_practice,from
o,235.0,-143,13.0,22,30,0,page_1_practice,from
m,248.0,-143,13.0,22,31,0,page_1_practice,from
 ,261.0,-143,13.0,22,32,0,page_1_practice,
h,274.0,-143,13.0,22,33,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
t,287.0,-143,13.0,22,34,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
t,300.0,-143,13.0,22,35,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
p,313.0,-143,13.0,22,36,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
s,326.0,-143,13.0,22,37,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
:,339.0,-143,13.0,22,38,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
/,352.0,-143,13.0,22,39,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
/,365.0,-143,13.0,22,40,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
w,378.0,-143,13.0,22,41,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
w,391.0,-143,13.0,22,42,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
w,404.0,-143,13.0,22,43,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
.,417.0,-143,13.0,22,44,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
h,430.0,-143,13.0,22,45,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
o,443.0,-143,13.0,22,46,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
s,456.0,-143,13.0,22,47,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
t,469.0,-143,13.0,22,48,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
i,482.0,-143,13.0,22,49,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
n,495.0,-143,13.0,22,50,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
g,508.0,-143,13.0,22,51,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
e,521.0,-143,13.0,22,52,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
r,534.0,-143,13.0,22,53,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
.,547.0,-143,13.0,22,54,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
c,560.0,-143,13.0,22,55,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
o,573.0,-143,13.0,22,56,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
m,586.0,-143,13.0,22,57,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
/,599.0,-143,13.0,22,58,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
t,612.0,-143,13.0,22,59,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
u,625.0,-143,13.0,22,60,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
t,638.0,-143,13.0,22,61,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
o,651.0,-143,13.0,22,62,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
r,664.0,-143,13.0,22,63,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
i,677.0,-143,13.0,22,64,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
a,690.0,-143,13.0,22,65,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
l,703.0,-143,13.0,22,66,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
s,716.0,-143,13.0,22,67,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
/,729.0,-143,13.0,22,68,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
b,742.0,-143,13.0,22,69,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
l,755.0,-143,13.0,22,70,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
o,768.0,-143,13.0,22,71,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
g,781.0,-143,13.0,22,72,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
-,794.0,-143,13.0,22,73,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
e,807.0,-143,13.0,22,74,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
x,820.0,-143,13.0,22,75,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
a,833.0,-143,13.0,22,76,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
m,846.0,-143,13.0,22,77,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
p,859.0,-143,13.0,22,78,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
l,872.0,-143,13.0,22,79,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
e,885.0,-143,13.0,22,80,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
s,898.0,-143,13.0,22,81,0,page_1_practice,https://www.hostinger.com/tutorials/blog-examples
M,-155.0,-69,13.0,21,0,0,page_1_practice,Main
a,-142.0,-69,13.0,21,1,0,page_1_practice,Main
i,-129.0,-69,13.0,21,2,0,page_1_practice,Main
n,-116.0,-69,13.0,21,3,0,page_1_practice,Main
 ,-103.0,-69,13.0,21,4,0,page_1_practice,
t,-90.0,-69,13.0,21,5,0,page_1_practice,topics:
o,-77.0,-69,13.0,21,6,0,page_1_practice,topics:
p,-64.0,-69,13.0,21,7,0,page_1_practice,topics:
i,-51.0,-69,13.0,21,8,0,page_1_practice,topics:
c,-38.0,-69,13.0,21,9,0,page_1_practice,topics:
s,-25.0,-69,13.0,21,10,0,page_1_practice,topics:
:,-12.0,-69,13.0,21,11,0,page_1_practice,topics:
 ,1.0,-69,13.0,21,12,0,page_1_practice,
t,14.0,-69,13.0,21,13,0,page_1_practice,"technology,"
