char,x,y,width,height,char_idx_in_line,line_idx,page,word
F,-155.0,-212,13.0,21,0,0,page_1_practice,From
r,-142.0,-212,13.0,21,1,0,page_1_practice,From
o,-129.0,-212,13.0,21,2,0,page_1_practice,From
m,-116.0,-212,13.0,21,3,0,page_1_practice,From
 ,-103.0,-212,13.0,21,4,0,page_1_practice,
m,-90.0,-212,13.0,21,5,0,page_1_practice,my
y,-77.0,-212,13.0,21,6,0,page_1_practice,my
 ,-64.0,-212,13.0,21,7,0,page_1_practice,
h,-51.0,-212,13.0,21,8,0,page_1_practice,hotel
o,-38.0,-212,13.0,21,9,0,page_1_practice,hotel
t,-25.0,-212,13.0,21,10,0,page_1_practice,hotel
e,-12.0,-212,13.0,21,11,0,page_1_practice,hotel
l,1.0,-212,13.0,21,12,0,page_1_practice,hotel
 ,14.0,-212,13.0,21,13,0,page_1_practice,
r,27.0,-212,13.0,21,14,0,page_1_practice,room
o,40.0,-212,13.0,21,15,0,page_1_practice,room
o,53.0,-212,13.0,21,16,0,page_1_practice,room
m,66.0,-212,13.0,21,17,0,page_1_practice,room
 ,79.0,-212,13.0,21,18,0,page_1_practice,
w,92.0,-212,13.0,21,19,0,page_1_practice,"window,"
i,105.0,-212,13.0,21,20,0,page_1_practice,"window,"
n,118.0,-212,13.0,21,21,0,page_1_practice,"window,"
d,131.0,-212,13.0,21,22,0,page_1_practice,"window,"
o,144.0,-212,13.0,21,23,0,page_1_practice,"window,"
w,157.0,-212,13.0,21,24,0,page_1_practice,"window,"
",",170.0,-212,13.0,21,25,0,page_1_practice,"window,"
 ,183.0,-212,13.0,21,26,0,page_1_practice,
I,196.0,-212,13.0,21,27,0,page_1_practice,I
 ,209.0,-212,13.0,21,28,0,page_1_practice,
s,222.0,-212,13.0,21,29,0,page_1_practice,see
e,235.0,-212,13.0,21,30,0,page_1_practice,see
e,248.0,-212,13.0,21,31,0,page_1_practice,see
 ,261.0,-212,13.0,21,32,0,page_1_practice,
a,274.0,-212,13.0,21,33,0,page_1_practice,an
n,287.0,-212,13.0,21,34,0,page_1_practice,an
 ,300.0,-212,13.0,21,35,0,page_1_practice,
o,313.0,-212,13.0,21,36,0,page_1_practice,oversized
v,326.0,-212,13.0,21,37,0,page_1_practice,oversized
e,339.0,-212,13.0,21,38,0,page_1_practice,oversized
r,352.0,-212,13.0,21,39,0,page_1_practice,oversized
s,365.0,-212,13.0,21,40,0,page_1_practice,oversized
i,378.0,-212,13.0,21,41,0,page_1_practice,oversized
z,391.0,-212,13.0,21,42,0,page_1_practice,oversized
e,404.0,-212,13.0,21,43,0,page_1_practice,oversized
d,417.0,-212,13.0,21,44,0,page_1_practice,oversized
 ,430.0,-212,13.0,21,45,0,page_1_practice,
b,443.0,-212,13.0,21,46,0,page_1_practice,billboard
i,456.0,-212,13.0,21,47,0,page_1_practice,billboard
l,469.0,-212,13.0,21,48,0,page_1_practice,billboard
l,482.0,-212,13.0,21,49,0,page_1_practice,billboard
b,495.0,-212,13.0,21,50,0,page_1_practice,billboard
o,508.0,-212,13.0,21,51,0,page_1_practice,billboard
a,521.0,-212,13.0,21,52,0,page_1_practice,billboard
r,534.0,-212,13.0,21,53,0,page_1_practice,billboard
d,547.0,-212,13.0,21,54,0,page_1_practice,billboard
